,country,rank,rating,games,birth_year,ranking_year
22,MDA,45.75,2674.0,17.0,1971.0,2008.0
23,NED,56.27272727272727,2663.5454545454545,25.272727272727273,1970.909090909091,2008.0
24,NOR,7.0,2764.75,27.75,1990.0,2008.0
25,POL,84.5,2638.5,25.0,1970.5,2008.0
26,ROU,61.857142857142854,2663.0,18.0,1975.5714285714287,2008.0
27,RUS,52.61224489795919,2677.295918367347,18.6734693877551,1975.8775510204082,2008.0
28,SIN,85.5,2640.5,21.5,1978.0,2008.0
29,SLO,80.0,2639.5,26.5,1953.0,2008.0
30,SRB,70.0,2650.0,22.8,1977.6,2008.0
31,SUI,32.0,2691.5,10.5,1972.0,2008.0
32,SVK,24.0,2706.75,28.75,1978.0,2008.0
33,TJK,77.33333333333333,2644.3333333333335,23.333333333333332,1978.0,2008.0
34,TUR,98.0,2632.5,25.0,1959.0,2008.0
35,UKR,42.39473684210526,2687.815789473684,22.44736842105263,1982.157894736842,2008.0
36,USA,54.0,2674.235294117647,14.411764705882353,1973.5882352941176,2008.0
37,UZB,41.25,2678.25,12.75,1979.0,2008.0
0,ARM,40.10526315789474,2701.0,17.36842105263158,1980.421052631579,2009.0
1,AZE,33.27272727272727,2711.5454545454545,13.409090909090908,1986.2727272727273,2009.0
2,BIH,81.375,2652.0,21.75,1979.875,2009.0
3,BLR,93.33333333333333,2642.6666666666665,20.333333333333332,1983.6666666666667,2009.0
4,BRA,90.0,2645.0,19.5,1983.0,2009.0
5,BUL,49.588235294117645,2703.705882352941,13.176470588235293,1974.8235294117646,2009.0
6,CHN,40.25,2695.875,18.125,1985.7083333333333,2009.0
7,CUB,22.2,2718.4,12.0,1983.0,2009.0
8,CZE,56.0,2675.6,14.2,1985.0,2009.0
9,DEN,51.4,2678.4,10.0,1973.0,2009.0
10,ENG,39.2,2692.8,17.0,1968.0,2009.0
11,ESP,24.6,2716.1,19.4,1977.0,2009.0
12,FIN,80.0,2649.5,14.0,1985.0,2009.0
13,FRA,49.3,2684.1,18.25,1981.75,2009.0
14,GEO,43.2,2686.4,10.2,1983.0,2009.0
15,GER,68.23529411764706,2663.1176470588234,19.470588235294116,1980.1176470588234,2009.0
16,HUN,42.8,2695.55,11.7,1979.0,2009.0
17,IND,38.1875,2710.125,14.75,1978.9375,2009.0
18,ISR,65.74193548387096,2668.7419354838707,17.774193548387096,1976.258064516129,2009.0
19,ITA,74.6,2655.8,23.2,1992.0,2009.0
20,KAZ,88.5,2648.0,12.0,1973.0,2009.0
21,MDA,41.6,2689.2,14.0,1971.0,2009.0
22,NED,64.36363636363636,2665.7272727272725,25.90909090909091,1972.909090909091,2009.0
23,NOR,3.2,2778.2,15.2,1990.0,2009.0
24,PER,92.5,2645.5,26.5,1967.0,2009.0
25,PHI,92.66666666666667,2643.6666666666665,20.0,1993.0,2009.0
26,POL,83.8,2648.6,20.2,1972.0,2009.0
27,ROU,55.6,2673.2,14.2,1976.0,2009.0
28,RUS,52.43801652892562,2685.2396694214876,15.694214876033058,1979.3553719008264,2009.0
29,SIN,69.0,2656.0,9.0,1978.0,2009.0
30,SLO,82.8,2650.4,21.0,1953.0,2009.0
31,SUI,70.8,2659.6,7.0,1972.0,2009.0
32,SVK,18.2,2728.6,19.0,1978.0,2009.0
33,TJK,88.75,2644.75,20.25,1978.0,2009.0
34,UKR,43.705882352941174,2692.235294117647,19.11764705882353,1982.0392156862745,2009.0
35,USA,47.5,2687.5,18.4,1975.5,2009.0
36,UZB,39.6,2692.2,20.0,1979.0,2009.0
0,ARM,42.35,2708.9,12.35,1979.5,2010.0
